Visit_ID,Flower_ID,Visitor_Group,Hidden_Flower_Context,Hidden_Visit_Mode,Hidden_Visit_Mode_Label,Dwell_Time_s,Entry_Depth,Contact_Fit,Landing_Distance_From_Contact_Zone,Contact_Zone_Closeness,Recurrence_Score,Landing_X,Landing_Y,Capsule_Probability_Synthetic,Capsule_Outcome,Flower_Visitor
48,4,Bumblebee,brief_heavy,brief_visit,brief visit,2.019,0.258,0.225,0.064,0.915,0.29,0.361,0.348,0.121,No capsule,Flower 4 :: Bumblebee
49,58,Moth,mixed,deep_contact,deep contact visit,13.755,0.984,0.896,0.07,0.907,0.469,0.021,0.053,0.458,No capsule,Flower 58 :: Moth
50,44,Hoverfly,high_contact,brief_visit,brief visit,2.752,0.088,0.228,0.561,0.252,0.713,0.45,0.149,0.778,Capsule formed,Flower 44 :: Hoverfly
51,28,Bumblebee,surface_heavy,deep_contact,deep contact visit,8.054,0.847,0.821,0.02,0.974,0.835,0.176,0.202,0.18,No capsule,Flower 28 :: Bumblebee
52,82,Hoverfly,high_contact,deep_contact,deep contact visit,12.226,0.753,0.888,0.093,0.876,0.696,0.015,0.073,0.823,Capsule formed,Flower 82 :: Hoverfly
53,89,Hoverfly,mixed,deep_contact,deep contact visit,12.322,0.844,0.846,0.03,0.959,0.788,-0.047,-0.033,0.547,No capsule,Flower 89 :: Hoverfly
54,25,Hoverfly,mixed,surface_wander,surface wandering visit,7.693,0.25,0.306,0.754,0.0,0.645,-0.465,-0.514,0.448,Capsule formed,Flower 25 :: Hoverfly
55,38,Hoverfly,mixed,surface_wander,surface wandering visit,10.75,0.148,0.076,0.526,0.299,0.666,-0.279,-0.368,0.453,No capsule,Flower 38 :: Hoverfly
56,53,Small native bee,high_contact,deep_contact,deep contact visit,12.454,0.808,0.877,0.105,0.86,0.549,-0.023,0.209,0.9,Capsule formed,Flower 53 :: Small native bee
57,80,Ant,mixed,shallow_entry,shallow entry visit,1.89,0.197,0.424,0.273,0.635,0.638,0.319,-0.501,0.353,No capsule,Flower 80 :: Ant
58,73,Hoverfly,mixed,deep_contact,deep contact visit,11.002,0.78,0.797,0.072,0.904,0.914,0.185,0.05,0.509,Capsule formed,Flower 73 :: Hoverfly
59,89,Small native bee,mixed,shallow_entry,shallow entry visit,5.532,0.436,0.468,0.62,0.174,0.645,0.423,0.404,0.547,No capsule,Flower 89 :: Small native bee
60,45,Bumblebee,mixed,shallow_entry,shallow entry visit,6.201,0.422,0.464,0.317,0.578,0.426,0.22,-0.197,0.422,No capsule,Flower 45 :: Bumblebee
61,8,Beetle,high_contact,surface_wander,surface wandering visit,6.266,0.235,0.066,0.511,0.319,0.25,-0.234,-0.119,0.701,Capsule formed,Flower 8 :: Beetle
62,48,Ant,brief_heavy,brief_visit,brief visit,0.481,0.0,0.159,0.371,0.505,0.578,-0.01,0.001,0.059,No capsule,Flower 48 :: Ant
63,89,Ant,mixed,brief_visit,brief visit,1.08,0.209,0.26,0.325,0.567,0.29,-0.613,-0.38,0.547,No capsule,Flower 89 :: Ant
64,55,Bumblebee,surface_heavy,shallow_entry,shallow entry visit,5.139,0.546,0.332,0.175,0.766,0.668,-0.176,0.05,0.102,No capsule,Flower 55 :: Bumblebee
65,71,Beetle,high_contact,deep_contact,deep contact visit,10.493,1.0,0.844,0.02,0.974,0.486,-0.077,0.012,0.782,No capsule,Flower 71 :: Beetle
66,40,Hoverfly,high_contact,deep_contact,deep contact visit,13.874,0.933,0.961,0.119,0.841,0.909,-0.149,0.051,0.832,Capsule formed,Flower 40 :: Hoverfly
67,87,Moth,mixed,surface_wander,surface wandering visit,7.585,0.329,0.183,0.65,0.133,0.352,-0.648,0.052,0.497,Capsule formed,Flower 87 :: Moth
68,48,Ant,brief_heavy,surface_wander,surface wandering visit,9.474,0.056,0.191,0.74,0.014,0.674,0.291,0.307,0.059,No capsule,Flower 48 :: Ant
69,45,Small native bee,mixed,shallow_entry,shallow entry visit,6.305,0.068,0.47,0.131,0.825,0.388,0.181,0.066,0.422,No capsule,Flower 45 :: Small native bee
70,32,Bumblebee,brief_heavy,surface_wander,surface wandering visit,6.79,0.362,0.2,0.649,0.134,0.734,-0.182,-0.491,0.059,No capsule,Flower 32 :: Bumblebee
71,62,Bumblebee,mixed,brief_visit,brief visit,1.708,0.106,0.234,0.428,0.43,0.526,-0.038,0.0,0.488,Capsule formed,Flower 62 :: Bumblebee
72,85,Small native bee,high_contact,shallow_entry,shallow entry visit,7.688,0.371,0.236,0.319,0.575,0.606,-0.176,0.021,0.816,Capsule formed,Flower 85 :: Small native bee
73,65,Moth,brief_heavy,deep_contact,deep contact visit,8.851,0.866,0.839,0.063,0.915,0.61,0.153,0.241,0.131,No capsule,Flower 65 :: Moth
74,68,Small native bee,high_contact,deep_contact,deep contact visit,13.41,0.85,0.869,0.135,0.82,0.635,-0.046,0.043,0.799,Capsule formed,Flower 68 :: Small native bee
75,43,Bumblebee,high_contact,deep_contact,deep contact visit,13.207,0.81,0.913,0.111,0.852,0.601,0.15,0.035,0.859,Capsule formed,Flower 43 :: Bumblebee
76,80,Small native bee,mixed,shallow_entry,shallow entry visit,5.794,0.387,0.376,0.338,0.549,0.594,0.157,0.054,0.353,No capsule,Flower 80 :: Small native bee
77,55,Beetle,surface_heavy,brief_visit,brief visit,0.3,0.184,0.16,0.65,0.133,0.483,0.073,-0.26,0.102,No capsule,Flower 55 :: Beetle
78,2,Small native bee,surface_heavy,brief_visit,brief visit,2.64,0.124,0.224,0.569,0.241,0.385,0.351,0.171,0.136,Capsule formed,Flower 2 :: Small native bee
79,61,Small native bee,mixed,shallow_entry,shallow entry visit,4.732,0.485,0.296,0.318,0.576,0.436,0.063,-0.0,0.545,Capsule formed,Flower 61 :: Small native bee
80,48,Hoverfly,brief_heavy,surface_wander,surface wandering visit,8.375,0.197,0.212,0.656,0.126,0.622,0.202,-0.332,0.059,No capsule,Flower 48 :: Hoverfly
81,80,Bumblebee,mixed,deep_contact,deep contact visit,9.549,0.876,0.961,0.086,0.886,0.684,-0.08,0.059,0.353,No capsule,Flower 80 :: Bumblebee
82,90,Bumblebee,mixed,deep_contact,deep contact visit,14.57,1.0,0.819,0.169,0.775,0.72,0.006,0.119,0.499,No capsule,Flower 90 :: Bumblebee
83,23,Moth,mixed,shallow_entry,shallow entry visit,3.183,0.235,0.505,0.24,0.681,0.4,0.102,0.123,0.387,No capsule,Flower 23 :: Moth
84,62,Ant,mixed,brief_visit,brief visit,1.85,0.338,0.2,0.634,0.154,0.739,0.407,0.141,0.488,Capsule formed,Flower 62 :: Ant
85,5,Hoverfly,high_contact,deep_contact,deep contact visit,13.272,0.732,0.804,0.162,0.784,0.867,0.154,0.056,0.859,Capsule formed,Flower 5 :: Hoverfly
86,48,Moth,brief_heavy,shallow_entry,shallow entry visit,5.842,0.556,0.373,0.309,0.588,0.361,0.181,-0.019,0.059,No capsule,Flower 48 :: Moth
87,43,Beetle,high_contact,deep_contact,deep contact visit,11.233,0.982,0.853,0.077,0.898,0.312,-0.06,0.056,0.859,Capsule formed,Flower 43 :: Beetle
88,78,Bumblebee,brief_heavy,brief_visit,brief visit,2.866,0.186,0.163,0.4,0.466,0.56,0.619,-0.915,0.058,No capsule,Flower 78 :: Bumblebee
89,17,Bumblebee,high_contact,deep_contact,deep contact visit,13.249,0.878,0.833,0.146,0.805,0.782,0.037,0.167,0.813,Capsule formed,Flower 17 :: Bumblebee
90,11,Hoverfly,brief_heavy,brief_visit,brief visit,1.983,0.18,0.278,0.119,0.841,0.49,-0.427,-0.211,0.135,No capsule,Flower 11 :: Hoverfly
91,24,Beetle,surface_heavy,surface_wander,surface wandering visit,5.848,0.381,0.38,0.51,0.32,0.276,-0.553,-0.753,0.118,No capsule,Flower 24 :: Beetle
92,23,Small native bee,mixed,surface_wander,surface wandering visit,3.999,0.091,0.215,0.642,0.144,0.53,-0.603,0.048,0.387,No capsule,Flower 23 :: Small native bee
93,65,Bumblebee,brief_heavy,deep_contact,deep contact visit,8.91,0.815,0.886,0.124,0.835,0.689,0.158,0.171,0.131,No capsule,Flower 65 :: Bumblebee
94,87,Bumblebee,mixed,deep_contact,deep contact visit,15.917,0.742,0.795,0.172,0.771,0.615,-0.099,0.036,0.497,Capsule formed,Flower 87 :: Bumblebee
95,13,Bumblebee,mixed,surface_wander,surface wandering visit,6.314,0.096,0.112,0.968,0.0,0.576,0.037,-0.342,0.452,No capsule,Flower 13 :: Bumblebee
96,82,Ant,high_contact,deep_contact,deep contact visit,8.906,0.695,0.703,0.024,0.968,0.836,0.016,0.196,0.823,Capsule formed,Flower 82 :: Ant
97,53,Ant,high_contact,deep_contact,deep contact visit,12.9,0.898,0.82,0.121,0.839,0.775,-0.029,-0.021,0.9,Capsule formed,Flower 53 :: Ant
98,50,Hoverfly,mixed,brief_visit,brief visit,1.965,0.213,0.097,0.426,0.432,0.728,0.223,0.479,0.427,No capsule,Flower 50 :: Hoverfly
99,80,Hoverfly,mixed,shallow_entry,shallow entry visit,4.744,0.545,0.429,0.225,0.7,0.539,0.069,-0.301,0.353,No capsule,Flower 80 :: Hoverfly
100,44,Hoverfly,high_contact,deep_contact,deep contact visit,12.434,0.782,0.816,0.133,0.823,0.797,0.177,0.037,0.778,Capsule formed,Flower 44 :: Hoverfly
101,68,Small native bee,high_contact,deep_contact,deep contact visit,10.861,0.836,0.852,0.044,0.941,0.693,0.079,0.133,0.799,Capsule formed,Flower 68 :: Small native bee
102,5,Ant,high_contact,deep_contact,deep contact visit,12.583,0.79,0.862,0.057,0.924,0.86,0.053,0.06,0.859,Capsule formed,Flower 5 :: Ant
103,68,Moth,high_contact,deep_contact,deep contact visit,13.471,0.845,0.878,0.017,0.977,0.538,0.2,0.154,0.799,Capsule formed,Flower 68 :: Moth
104,23,Bumblebee,mixed,surface_wander,surface wandering visit,2.677,0.183,0.285,0.312,0.584,0.461,-0.556,-0.48,0.387,No capsule,Flower 23 :: Bumblebee
105,81,Small native bee,high_contact,deep_contact,deep contact visit,13.09,0.9,0.842,0.046,0.938,0.56,0.131,-0.17,0.856,Capsule formed,Flower 81 :: Small native bee
106,40,Bumblebee,high_contact,shallow_entry,shallow entry visit,4.485,0.468,0.494,0.472,0.371,0.6,0.168,-0.287,0.832,Capsule formed,Flower 40 :: Bumblebee
107,66,Bumblebee,mixed,shallow_entry,shallow entry visit,5.66,0.232,0.45,0.376,0.498,0.649,-0.186,-0.042,0.413,No capsule,Flower 66 :: Bumblebee
108,14,Small native bee,surface_heavy,deep_contact,deep contact visit,13.641,0.862,0.889,0.192,0.744,0.677,0.079,0.324,0.151,No capsule,Flower 14 :: Small native bee
109,62,Small native bee,mixed,shallow_entry,shallow entry visit,6.49,0.357,0.286,0.524,0.301,0.593,-0.032,0.145,0.488,Capsule formed,Flower 62 :: Small native bee
110,82,Bumblebee,high_contact,surface_wander,surface wandering visit,4.77,0.192,0.391,0.659,0.121,0.495,-0.367,-0.319,0.823,Capsule formed,Flower 82 :: Bumblebee
111,38,Hoverfly,mixed,deep_contact,deep contact visit,8.16,0.909,0.833,0.111,0.852,0.71,0.14,0.192,0.453,No capsule,Flower 38 :: Hoverfly
112,68,Moth,high_contact,brief_visit,brief visit,2.204,0.019,0.158,0.5,0.333,0.467,0.064,0.025,0.799,Capsule formed,Flower 68 :: Moth
113,89,Beetle,mixed,shallow_entry,shallow entry visit,5.129,0.4,0.192,0.28,0.626,0.525,-0.096,0.041,0.547,No capsule,Flower 89 :: Beetle
114,44,Ant,high_contact,deep_contact,deep contact visit,10.661,0.877,0.729,0.192,0.743,0.778,0.004,0.132,0.778,Capsule formed,Flower 44 :: Ant
115,89,Small native bee,mixed,deep_contact,deep contact visit,11.371,0.801,0.819,0.128,0.829,0.66,0.079,0.079,0.547,No capsule,Flower 89 :: Small native bee
116,16,Moth,mixed,shallow_entry,shallow entry visit,2.878,0.571,0.598,0.176,0.765,0.683,0.279,0.155,0.472,No capsule,Flower 16 :: Moth
117,36,Beetle,surface_heavy,surface_wander,surface wandering visit,8.976,0.286,0.218,0.425,0.433,0.419,0.047,-0.01,0.066,No capsule,Flower 36 :: Beetle
118,13,Ant,mixed,shallow_entry,shallow entry visit,4.137,0.224,0.451,0.261,0.652,0.606,-0.432,-0.245,0.452,No capsule,Flower 13 :: Ant
119,47,Small native bee,mixed,deep_contact,deep contact visit,8.88,0.955,0.85,0.106,0.859,0.826,0.156,0.052,0.533,Capsule formed,Flower 47 :: Small native bee
120,46,Bumblebee,brief_heavy,brief_visit,brief visit,1.821,0.14,0.277,0.395,0.474,0.836,0.033,0.563,0.1,No capsule,Flower 46 :: Bumblebee
121,62,Hoverfly,mixed,brief_visit,brief visit,1.26,0.226,0.239,0.429,0.428,0.506,-0.49,-0.594,0.488,Capsule formed,Flower 62 :: Hoverfly
122,69,Bumblebee,surface_heavy,shallow_entry,shallow entry visit,5.676,0.149,0.395,0.252,0.664,0.83,-0.162,-0.09,0.167,Capsule formed,Flower 69 :: Bumblebee
123,16,Small native bee,mixed,shallow_entry,shallow entry visit,5.906,0.46,0.521,0.181,0.759,0.648,-0.147,0.039,0.472,No capsule,Flower 16 :: Small native bee
124,23,Small native bee,mixed,deep_contact,deep contact visit,10.493,0.754,0.835,0.029,0.961,0.666,-0.084,0.144,0.387,No capsule,Flower 23 :: Small native bee
125,44,Moth,high_contact,deep_contact,deep contact visit,14.583,0.866,0.845,0.117,0.843,0.371,0.016,0.26,0.778,Capsule formed,Flower 44 :: Moth
126,23,Bumblebee,mixed,shallow_entry,shallow entry visit,7.312,0.18,0.201,0.293,0.609,0.549,0.336,-0.077,0.387,No capsule,Flower 23 :: Bumblebee
127,80,Ant,mixed,shallow_entry,shallow entry visit,5.279,0.397,0.365,0.389,0.482,0.77,0.069,-0.404,0.353,No capsule,Flower 80 :: Ant
128,49,Small native bee,surface_heavy,surface_wander,surface wandering visit,10.454,0.055,0.401,0.417,0.444,0.57,-0.709,-0.47,0.105,No capsule,Flower 49 :: Small native bee
129,81,Moth,high_contact,deep_contact,deep contact visit,12.298,0.832,0.955,0.077,0.897,0.398,-0.052,0.13,0.856,Capsule formed,Flower 81 :: Moth
130,13,Bumblebee,mixed,deep_contact,deep contact visit,10.578,0.811,0.764,0.055,0.926,0.642,0.089,0.153,0.452,No capsule,Flower 13 :: Bumblebee
131,23,Ant,mixed,deep_contact,deep contact visit,10.085,0.748,0.794,0.055,0.927,0.637,0.035,0.146,0.387,No capsule,Flower 23 :: Ant
132,41,Small native bee,mixed,surface_wander,surface wandering visit,8.854,0.159,0.055,0.365,0.513,0.484,0.078,-0.842,0.451,Capsule formed,Flower 41 :: Small native bee
133,3,Bumblebee,high_contact,deep_contact,deep contact visit,12.955,0.784,0.852,0.001,0.999,0.512,0.105,-0.009,0.873,Capsule formed,Flower 3 :: Bumblebee
134,39,Hoverfly,brief_heavy,brief_visit,brief visit,1.77,0.107,0.19,0.52,0.307,0.699,0.086,0.488,0.073,No capsule,Flower 39 :: Hoverfly
135,68,Beetle,high_contact,deep_contact,deep contact visit,14.456,0.726,0.838,0.165,0.78,0.521,0.038,0.06,0.799,Capsule formed,Flower 68 :: Beetle
136,76,Small native bee,mixed,shallow_entry,shallow entry visit,5.623,0.429,0.332,0.329,0.562,0.851,-0.22,0.038,0.379,Capsule formed,Flower 76 :: Small native bee
137,3,Bumblebee,high_contact,deep_contact,deep contact visit,13.4,0.934,0.873,0.152,0.797,0.512,0.163,0.114,0.873,Capsule formed,Flower 3 :: Bumblebee
138,80,Small native bee,mixed,shallow_entry,shallow entry visit,5.963,0.418,0.457,0.389,0.481,0.383,0.275,-0.019,0.353,No capsule,Flower 80 :: Small native bee
139,53,Beetle,high_contact,surface_wander,surface wandering visit,1.965,0.218,0.051,0.589,0.215,0.306,0.119,-0.252,0.9,Capsule formed,Flower 53 :: Beetle
140,73,Ant,mixed,shallow_entry,shallow entry visit,6.665,0.374,0.389,0.098,0.87,0.689,-0.217,0.115,0.509,Capsule formed,Flower 73 :: Ant
141,84,Ant,high_contact,deep_contact,deep contact visit,11.584,0.984,0.943,0.052,0.931,0.748,0.02,0.105,0.817,Capsule formed,Flower 84 :: Ant
142,73,Small native bee,mixed,brief_visit,brief visit,2.001,0.225,0.142,0.065,0.914,0.619,0.131,-0.341,0.509,Capsule formed,Flower 73 :: Small native bee
143,2,Small native bee,surface_heavy,surface_wander,surface wandering visit,6.655,0.271,0.136,0.689,0.082,0.415,-0.598,0.009,0.136,Capsule formed,Flower 2 :: Small native bee
144,5,Beetle,high_contact,deep_contact,deep contact visit,8.898,0.797,0.773,0.113,0.85,0.443,0.234,-0.076,0.859,Capsule formed,Flower 5 :: Beetle
145,2,Ant,surface_heavy,surface_wander,surface wandering visit,8.354,0.0,0.224,0.903,0.0,0.516,-0.595,0.347,0.136,Capsule formed,Flower 2 :: Ant
146,77,Small native bee,high_contact,deep_contact,deep contact visit,11.562,0.759,0.869,0.058,0.923,0.598,0.075,-0.04,0.869,Capsule formed,Flower 77 :: Small native bee
147,7,Bumblebee,surface_heavy,deep_contact,deep contact visit,15.838,0.93,0.867,0.038,0.949,0.658,0.027,0.083,0.17,No capsule,Flower 7 :: Bumblebee
148,81,Hoverfly,high_contact,deep_contact,deep contact visit,8.772,0.799,0.924,0.015,0.98,0.785,-0.054,0.09,0.856,Capsule formed,Flower 81 :: Hoverfly
149,11,Small native bee,brief_heavy,brief_visit,brief visit,0.916,0.247,0.098,0.293,0.609,0.538,-0.177,0.241,0.135,No capsule,Flower 11 :: Small native bee
150,65,Ant,brief_heavy,surface_wander,surface wandering visit,6.586,0.259,0.263,0.871,0.0,0.842,-0.519,-0.18,0.131,No capsule,Flower 65 :: Ant
151,67,Hoverfly,high_contact,shallow_entry,shallow entry visit,3.797,0.294,0.401,0.136,0.818,0.804,-0.065,0.486,0.825,Capsule formed,Flower 67 :: Hoverfly
152,19,Moth,high_contact,deep_contact,deep contact visit,11.951,0.736,0.979,0.152,0.798,0.564,-0.101,0.099,0.866,Capsule formed,Flower 19 :: Moth
153,59,Beetle,brief_heavy,shallow_entry,shallow entry visit,5.872,0.128,0.292,0.346,0.539,0.521,0.3,-0.307,0.039,No capsule,Flower 59 :: Beetle
154,14,Bumblebee,surface_heavy,deep_contact,deep contact visit,11.783,0.862,0.839,0.012,0.984,0.674,-0.009,0.067,0.151,No capsule,Flower 14 :: Bumblebee
155,87,Bumblebee,mixed,shallow_entry,shallow entry visit,6.496,0.383,0.367,0.28,0.626,0.428,0.186,-0.02,0.497,Capsule formed,Flower 87 :: Bumblebee
156,69,Moth,surface_heavy,brief_visit,brief visit,0.42,0.207,0.159,0.457,0.39,0.345,0.239,0.256,0.167,Capsule formed,Flower 69 :: Moth
157,53,Hoverfly,high_contact,surface_wander,surface wandering visit,9.923,0.27,0.264,0.43,0.426,0.721,0.03,0.252,0.9,Capsule formed,Flower 53 :: Hoverfly
158,89,Ant,mixed,surface_wander,surface wandering visit,8.144,0.059,0.241,0.678,0.096,0.581,-0.156,-0.275,0.547,No capsule,Flower 89 :: Ant
159,69,Small native bee,surface_heavy,surface_wander,surface wandering visit,8.027,0.239,0.05,0.357,0.524,0.235,-0.211,-0.524,0.167,Capsule formed,Flower 69 :: Small native bee
160,2,Small native bee,surface_heavy,shallow_entry,shallow entry visit,6.116,0.384,0.507,0.322,0.57,0.491,0.07,0.168,0.136,Capsule formed,Flower 2 :: Small native bee
