Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Ironwood Lake,August,Isolated shoreline,After storm,Severe,77.6,57.2
Juniper Lake,September,Isolated shoreline,After storm,Severe,95.7,78.9
Kingfisher Lake,May,Developed shoreline,Before storm,Mild,9.4,14.6
Loon Lake,June,Developed shoreline,Before storm,Mild,23.2,24.1
Maple Lake,July,Developed shoreline,Before storm,Moderate,35.3,36.0
Nettle Lake,August,Isolated shoreline,Before storm,Severe,68.0,55.4
Otter Lake,September,Isolated shoreline,Before storm,Moderate,35.9,24.3
Prairie Lake,May,Isolated shoreline,After storm,Moderate,29.5,4.3
Quill Lake,June,Developed shoreline,After storm,Moderate,43.2,19.7
Riverbend Lake,July,Developed shoreline,After storm,Moderate,51.5,36.7
Sedge Lake,August,Developed shoreline,After storm,Severe,99.1,79.4
Tamarack Lake,September,Isolated shoreline,After storm,Severe,89.5,80.7
Umbrella Lake,May,Isolated shoreline,Before storm,Mild,20.1,14.3
Violet Lake,June,Isolated shoreline,Before storm,Mild,21.3,17.3
Willow Lake,July,Developed shoreline,Before storm,Moderate,36.1,32.8
Xenia Lake,August,Developed shoreline,Before storm,Severe,57.8,60.8
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,43.9,39.3
Aster Lake,May,Isolated shoreline,After storm,Moderate,30.0,17.9
Birch Lake,June,Isolated shoreline,After storm,Moderate,36.8,15.5
Cedar Lake,July,Isolated shoreline,After storm,Severe,64.0,49.1
Dragonfly Lake,August,Developed shoreline,After storm,Severe,77.9,58.1
Eagle Lake,September,Developed shoreline,After storm,Severe,70.2,50.5
