Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Heron Lake,July,Developed shoreline,Before storm,Moderate,45.7,22.0
Ironwood Lake,August,Isolated shoreline,Before storm,Severe,62.0,64.9
Juniper Lake,September,Isolated shoreline,Before storm,Moderate,46.4,48.4
Kingfisher Lake,May,Isolated shoreline,After storm,Moderate,38.5,37.0
Loon Lake,June,Developed shoreline,After storm,Moderate,44.2,30.5
Maple Lake,July,Developed shoreline,After storm,Severe,70.7,54.4
Nettle Lake,August,Developed shoreline,After storm,Severe,76.3,64.1
Otter Lake,September,Isolated shoreline,After storm,Severe,62.0,57.9
Prairie Lake,May,Isolated shoreline,Before storm,Moderate,26.7,24.6
Quill Lake,June,Isolated shoreline,Before storm,Moderate,29.1,30.4
Riverbend Lake,July,Developed shoreline,Before storm,Severe,61.7,46.3
Sedge Lake,August,Developed shoreline,Before storm,Severe,77.6,63.0
Tamarack Lake,September,Developed shoreline,Before storm,Severe,63.8,53.6
Umbrella Lake,May,Isolated shoreline,After storm,Moderate,25.9,31.4
Violet Lake,June,Isolated shoreline,After storm,Moderate,40.7,40.3
Willow Lake,July,Isolated shoreline,After storm,Moderate,42.6,39.6
Xenia Lake,August,Developed shoreline,After storm,Severe,106.1,82.3
Yellowbell Lake,September,Developed shoreline,After storm,Severe,93.5,73.9
Aster Lake,May,Developed shoreline,Before storm,Moderate,28.6,16.0
Birch Lake,June,Isolated shoreline,Before storm,Mild,15.7,17.4
Cedar Lake,July,Isolated shoreline,Before storm,Moderate,41.0,49.6
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,62.1,59.3
Eagle Lake,September,Developed shoreline,Before storm,Moderate,39.4,23.9
Fern Lake,May,Developed shoreline,After storm,Moderate,38.8,21.5
Goldenrod Lake,June,Developed shoreline,After storm,Moderate,39.8,20.8
Heron Lake,July,Isolated shoreline,After storm,Moderate,43.1,42.3
Ironwood Lake,August,Isolated shoreline,After storm,Severe,77.6,86.8
Juniper Lake,September,Isolated shoreline,After storm,Severe,95.7,96.8
Kingfisher Lake,May,Developed shoreline,Before storm,Mild,9.4,0.5
Loon Lake,June,Developed shoreline,Before storm,Mild,23.2,5.2
Maple Lake,July,Developed shoreline,Before storm,Moderate,35.3,26.3
Nettle Lake,August,Isolated shoreline,Before storm,Severe,68.0,69.4
Otter Lake,September,Isolated shoreline,Before storm,Moderate,35.9,32.9
Prairie Lake,May,Isolated shoreline,After storm,Moderate,29.5,42.6
Quill Lake,June,Developed shoreline,After storm,Moderate,43.2,28.6
Riverbend Lake,July,Developed shoreline,After storm,Moderate,51.5,32.7
Sedge Lake,August,Developed shoreline,After storm,Severe,99.1,89.2
Tamarack Lake,September,Isolated shoreline,After storm,Severe,89.5,98.7
Umbrella Lake,May,Isolated shoreline,Before storm,Mild,20.1,34.8
Violet Lake,June,Isolated shoreline,Before storm,Mild,21.3,18.9
Willow Lake,July,Developed shoreline,Before storm,Moderate,36.1,15.7
Xenia Lake,August,Developed shoreline,Before storm,Severe,57.8,33.4
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,43.9,17.8
Aster Lake,May,Isolated shoreline,After storm,Moderate,30.0,28.9
Birch Lake,June,Isolated shoreline,After storm,Moderate,36.8,40.0
Cedar Lake,July,Isolated shoreline,After storm,Severe,64.0,71.6
Dragonfly Lake,August,Developed shoreline,After storm,Severe,77.9,58.3
Eagle Lake,September,Developed shoreline,After storm,Severe,70.2,58.3
