Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Umbrella Lake,May,Isolated shoreline,After storm,Moderate,25.9,34.6
Violet Lake,June,Isolated shoreline,After storm,Moderate,40.7,26.8
Willow Lake,July,Isolated shoreline,After storm,Moderate,42.6,44.2
Xenia Lake,August,Developed shoreline,After storm,Severe,106.1,127.1
Yellowbell Lake,September,Developed shoreline,After storm,Severe,93.5,90.0
Aster Lake,May,Developed shoreline,Before storm,Moderate,28.6,33.7
Birch Lake,June,Isolated shoreline,Before storm,Mild,15.7,0.5
Cedar Lake,July,Isolated shoreline,Before storm,Moderate,41.0,52.7
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,62.1,62.0
Eagle Lake,September,Developed shoreline,Before storm,Moderate,39.4,38.1
Fern Lake,May,Developed shoreline,After storm,Moderate,38.8,42.2
Goldenrod Lake,June,Developed shoreline,After storm,Moderate,39.8,35.5
Heron Lake,July,Isolated shoreline,After storm,Moderate,43.1,28.8
Ironwood Lake,August,Isolated shoreline,After storm,Severe,77.6,106.3
Juniper Lake,September,Isolated shoreline,After storm,Severe,95.7,109.7
Kingfisher Lake,May,Developed shoreline,Before storm,Mild,9.4,20.2
Loon Lake,June,Developed shoreline,Before storm,Mild,23.2,11.6
Maple Lake,July,Developed shoreline,Before storm,Moderate,35.3,21.0
Nettle Lake,August,Isolated shoreline,Before storm,Severe,68.0,104.7
Otter Lake,September,Isolated shoreline,Before storm,Moderate,35.9,20.0
Prairie Lake,May,Isolated shoreline,After storm,Moderate,29.5,28.6
Quill Lake,June,Developed shoreline,After storm,Moderate,43.2,53.4
Riverbend Lake,July,Developed shoreline,After storm,Moderate,51.5,44.5
Sedge Lake,August,Developed shoreline,After storm,Severe,99.1,108.7
Tamarack Lake,September,Isolated shoreline,After storm,Severe,89.5,89.8
Umbrella Lake,May,Isolated shoreline,Before storm,Mild,20.1,9.7
Violet Lake,June,Isolated shoreline,Before storm,Mild,21.3,25.3
Willow Lake,July,Developed shoreline,Before storm,Moderate,36.1,64.4
Xenia Lake,August,Developed shoreline,Before storm,Severe,57.8,59.3
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,43.9,38.2
Aster Lake,May,Isolated shoreline,After storm,Moderate,30.0,20.9
Birch Lake,June,Isolated shoreline,After storm,Moderate,36.8,43.3
Cedar Lake,July,Isolated shoreline,After storm,Severe,64.0,68.4
Dragonfly Lake,August,Developed shoreline,After storm,Severe,77.9,77.1
Eagle Lake,September,Developed shoreline,After storm,Severe,70.2,81.6
