Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Kingfisher Lake,May,Developed shoreline,Before storm,Mild,9.4,13.1
Loon Lake,June,Developed shoreline,Before storm,Mild,23.2,28.0
Maple Lake,July,Developed shoreline,Before storm,Moderate,35.3,32.6
Nettle Lake,August,Isolated shoreline,Before storm,Severe,68.0,68.2
Otter Lake,September,Isolated shoreline,Before storm,Moderate,35.9,36.6
Prairie Lake,May,Isolated shoreline,After storm,Moderate,29.5,34.7
Quill Lake,June,Developed shoreline,After storm,Moderate,43.2,43.7
Riverbend Lake,July,Developed shoreline,After storm,Moderate,51.5,47.2
Sedge Lake,August,Developed shoreline,After storm,Severe,99.1,103.4
Tamarack Lake,September,Isolated shoreline,After storm,Severe,89.5,89.8
Umbrella Lake,May,Isolated shoreline,Before storm,Mild,20.1,25.6
Violet Lake,June,Isolated shoreline,Before storm,Mild,21.3,14.5
Willow Lake,July,Developed shoreline,Before storm,Moderate,36.1,35.3
Xenia Lake,August,Developed shoreline,Before storm,Severe,57.8,55.4
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,43.9,49.6
Aster Lake,May,Isolated shoreline,After storm,Moderate,30.0,24.3
Birch Lake,June,Isolated shoreline,After storm,Moderate,36.8,43.4
Cedar Lake,July,Isolated shoreline,After storm,Severe,64.0,71.9
Dragonfly Lake,August,Developed shoreline,After storm,Severe,77.9,77.4
Eagle Lake,September,Developed shoreline,After storm,Severe,70.2,76.1
