Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Loon Lake,June,Developed shoreline,After storm,Moderate,44.2,49.4
Maple Lake,July,Developed shoreline,After storm,Severe,70.7,41.6
Nettle Lake,August,Developed shoreline,After storm,Severe,76.3,41.7
Otter Lake,September,Isolated shoreline,After storm,Severe,62.0,54.5
Prairie Lake,May,Isolated shoreline,Before storm,Moderate,26.7,29.2
Quill Lake,June,Isolated shoreline,Before storm,Moderate,29.1,31.7
Riverbend Lake,July,Developed shoreline,Before storm,Severe,61.7,48.7
Sedge Lake,August,Developed shoreline,Before storm,Severe,77.6,53.7
Tamarack Lake,September,Developed shoreline,Before storm,Severe,63.8,40.7
Umbrella Lake,May,Isolated shoreline,After storm,Moderate,25.9,15.2
Violet Lake,June,Isolated shoreline,After storm,Moderate,40.7,42.5
Willow Lake,July,Isolated shoreline,After storm,Moderate,42.6,45.9
Xenia Lake,August,Developed shoreline,After storm,Severe,106.1,79.8
Yellowbell Lake,September,Developed shoreline,After storm,Severe,93.5,76.1
Aster Lake,May,Developed shoreline,Before storm,Moderate,28.6,29.4
Birch Lake,June,Isolated shoreline,Before storm,Mild,15.7,25.4
Cedar Lake,July,Isolated shoreline,Before storm,Moderate,41.0,38.8
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,62.1,36.4
Eagle Lake,September,Developed shoreline,Before storm,Moderate,39.4,34.7
Fern Lake,May,Developed shoreline,After storm,Moderate,38.8,36.0
Goldenrod Lake,June,Developed shoreline,After storm,Moderate,39.8,36.9
Heron Lake,July,Isolated shoreline,After storm,Moderate,43.1,51.7
Ironwood Lake,August,Isolated shoreline,After storm,Severe,77.6,50.1
Juniper Lake,September,Isolated shoreline,After storm,Severe,95.7,72.8
Kingfisher Lake,May,Developed shoreline,Before storm,Mild,9.4,17.6
Loon Lake,June,Developed shoreline,Before storm,Mild,23.2,24.7
Maple Lake,July,Developed shoreline,Before storm,Moderate,35.3,31.1
Nettle Lake,August,Isolated shoreline,Before storm,Severe,68.0,54.9
Otter Lake,September,Isolated shoreline,Before storm,Moderate,35.9,38.8
Prairie Lake,May,Isolated shoreline,After storm,Moderate,29.5,21.2
Quill Lake,June,Developed shoreline,After storm,Moderate,43.2,42.3
Riverbend Lake,July,Developed shoreline,After storm,Moderate,51.5,44.0
Sedge Lake,August,Developed shoreline,After storm,Severe,99.1,75.1
Tamarack Lake,September,Isolated shoreline,After storm,Severe,89.5,73.7
Umbrella Lake,May,Isolated shoreline,Before storm,Mild,20.1,22.8
Violet Lake,June,Isolated shoreline,Before storm,Mild,21.3,20.9
Willow Lake,July,Developed shoreline,Before storm,Moderate,36.1,33.3
Xenia Lake,August,Developed shoreline,Before storm,Severe,57.8,25.5
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,43.9,40.6
Aster Lake,May,Isolated shoreline,After storm,Moderate,30.0,33.3
Birch Lake,June,Isolated shoreline,After storm,Moderate,36.8,25.8
Cedar Lake,July,Isolated shoreline,After storm,Severe,64.0,49.3
Dragonfly Lake,August,Developed shoreline,After storm,Severe,77.9,72.1
Eagle Lake,September,Developed shoreline,After storm,Severe,70.2,56.0
