Lake,Month,LakeSetting,StormStatus,BloomSeverity,Actual,Predicted
Sedge Lake,August,Developed shoreline,Before storm,Severe,77.6,91.0
Tamarack Lake,September,Developed shoreline,Before storm,Severe,63.8,73.4
Umbrella Lake,May,Isolated shoreline,After storm,Moderate,25.9,43.7
Violet Lake,June,Isolated shoreline,After storm,Moderate,40.7,44.5
Willow Lake,July,Isolated shoreline,After storm,Moderate,42.6,49.8
Xenia Lake,August,Developed shoreline,After storm,Severe,106.1,115.3
Yellowbell Lake,September,Developed shoreline,After storm,Severe,93.5,113.8
Aster Lake,May,Developed shoreline,Before storm,Moderate,28.6,38.6
Birch Lake,June,Isolated shoreline,Before storm,Mild,15.7,31.6
Cedar Lake,July,Isolated shoreline,Before storm,Moderate,41.0,45.6
Dragonfly Lake,August,Isolated shoreline,Before storm,Severe,62.1,78.3
Eagle Lake,September,Developed shoreline,Before storm,Moderate,39.4,49.3
Fern Lake,May,Developed shoreline,After storm,Moderate,38.8,52.4
Goldenrod Lake,June,Developed shoreline,After storm,Moderate,39.8,46.6
Heron Lake,July,Isolated shoreline,After storm,Moderate,43.1,59.2
Ironwood Lake,August,Isolated shoreline,After storm,Severe,77.6,86.8
Juniper Lake,September,Isolated shoreline,After storm,Severe,95.7,95.6
Kingfisher Lake,May,Developed shoreline,Before storm,Mild,9.4,29.1
Loon Lake,June,Developed shoreline,Before storm,Mild,23.2,36.7
Maple Lake,July,Developed shoreline,Before storm,Moderate,35.3,46.9
Nettle Lake,August,Isolated shoreline,Before storm,Severe,68.0,88.6
Otter Lake,September,Isolated shoreline,Before storm,Moderate,35.9,45.5
Prairie Lake,May,Isolated shoreline,After storm,Moderate,29.5,43.7
Quill Lake,June,Developed shoreline,After storm,Moderate,43.2,48.5
Riverbend Lake,July,Developed shoreline,After storm,Moderate,51.5,62.9
Sedge Lake,August,Developed shoreline,After storm,Severe,99.1,101.2
Tamarack Lake,September,Isolated shoreline,After storm,Severe,89.5,101.8
Umbrella Lake,May,Isolated shoreline,Before storm,Mild,20.1,26.3
Violet Lake,June,Isolated shoreline,Before storm,Mild,21.3,31.8
Willow Lake,July,Developed shoreline,Before storm,Moderate,36.1,45.8
Xenia Lake,August,Developed shoreline,Before storm,Severe,57.8,65.8
Yellowbell Lake,September,Developed shoreline,Before storm,Moderate,43.9,55.9
Aster Lake,May,Isolated shoreline,After storm,Moderate,30.0,40.6
Birch Lake,June,Isolated shoreline,After storm,Moderate,36.8,42.0
Cedar Lake,July,Isolated shoreline,After storm,Severe,64.0,66.6
Dragonfly Lake,August,Developed shoreline,After storm,Severe,77.9,86.0
Eagle Lake,September,Developed shoreline,After storm,Severe,70.2,79.4
