NightID,Interval,TimeFraction,TemperatureC,NoiseLevel,CallActivity
Night_003,3,0.0282,4.1,0.571,0
Night_003,4,0.0423,3.83,0.453,3
Night_003,5,0.0563,3.6,0.55,1
Night_003,6,0.0704,3.76,0.591,1
Night_003,7,0.0845,3.67,0.494,1
Night_003,8,0.0986,3.75,0.484,0
Night_003,9,0.1127,3.11,0.418,0
Night_003,10,0.1268,3.7,0.413,2
Night_003,11,0.1408,3.35,0.514,0
Night_003,12,0.1549,3.35,0.571,0
Night_003,13,0.169,3.65,0.49,0
Night_003,14,0.1831,2.94,0.484,0
Night_003,15,0.1972,3.28,0.455,0
Night_003,16,0.2113,3.27,0.47,0
Night_003,17,0.2254,2.9,0.355,0
Night_003,18,0.2394,2.74,0.371,0
Night_003,19,0.2535,2.63,0.469,0
Night_003,20,0.2676,3.08,0.422,0
Night_003,21,0.2817,2.51,0.301,0
Night_003,22,0.2958,2.81,0.367,0
Night_003,23,0.3099,2.91,0.289,0
Night_003,24,0.3239,2.18,0.314,0
Night_003,25,0.338,1.98,0.322,0
Night_003,26,0.3521,2.36,0.364,0
Night_003,27,0.3662,2.25,0.501,0
Night_003,28,0.3803,2.04,0.422,0
Night_003,29,0.3944,1.98,0.442,0
Night_003,30,0.4085,2.14,0.563,0
Night_003,31,0.4225,1.69,0.606,0
Night_003,32,0.4366,1.63,0.484,0
Night_003,33,0.4507,1.34,0.419,1
Night_003,34,0.4648,1.41,0.446,1
Night_003,35,0.4789,1.06,0.461,0
Night_003,36,0.493,1.7,0.435,0
Night_003,37,0.507,1.43,0.419,0
Night_003,38,0.5211,1.13,0.426,0
Night_003,39,0.5352,1.01,0.384,0
Night_003,40,0.5493,0.81,0.375,0
Night_003,41,0.5634,0.9,0.368,0
Night_003,42,0.5775,0.83,0.361,1
Night_003,43,0.5915,0.5,0.331,0
Night_003,44,0.6056,0.74,0.335,0
Night_003,45,0.6197,0.82,0.276,0
Night_003,46,0.6338,0.42,0.43,0
Night_003,47,0.6479,0.47,0.407,0
Night_003,48,0.662,0.5,0.348,0
Night_003,49,0.6761,0.23,0.3,0
Night_003,50,0.6901,0.3,0.355,1
Night_003,51,0.7042,0.1,0.374,1
Night_003,52,0.7183,-0.09,0.34,0
Night_003,53,0.7324,-0.05,0.301,0
Night_003,54,0.7465,-0.0,0.283,0
Night_003,55,0.7606,-0.01,0.36,0
Night_003,56,0.7746,-0.4,0.389,1
Night_003,57,0.7887,-0.27,0.4,0
Night_003,58,0.8028,-0.28,0.357,0
Night_003,59,0.8169,-0.51,0.318,0
Night_003,60,0.831,-0.71,0.222,0
Night_003,61,0.8451,-0.59,0.231,0
Night_003,62,0.8592,-0.77,0.195,1
Night_003,63,0.8732,-0.63,0.282,0
Night_003,64,0.8873,-0.46,0.238,0
Night_003,65,0.9014,-0.72,0.134,0
Night_003,66,0.9155,-0.69,0.172,1
Night_003,67,0.9296,-0.5,0.264,0
Night_003,68,0.9437,-0.79,0.253,0
Night_003,69,0.9577,-0.48,0.267,1
Night_003,70,0.9718,-0.61,0.349,0
Night_003,71,0.9859,-1.16,0.306,0
Night_003,72,1.0,-0.8,0.301,0
Night_004,1,0.0,8.45,0.191,0
Night_004,2,0.0141,8.26,0.133,2
Night_004,3,0.0282,8.08,0.068,0
Night_004,4,0.0423,7.95,0.071,0
Night_004,5,0.0563,7.64,0.069,0
Night_004,6,0.0704,7.64,0.111,0
Night_004,7,0.0845,7.81,0.055,1
Night_004,8,0.0986,7.89,0.044,3
Night_004,9,0.1127,7.54,0.043,1
Night_004,10,0.1268,7.7,0.164,1
Night_004,11,0.1408,7.13,0.165,1
Night_004,12,0.1549,7.44,0.186,1
Night_004,13,0.169,6.86,0.207,1
Night_004,14,0.1831,6.9,0.236,0
Night_004,15,0.1972,6.73,0.166,1
Night_004,16,0.2113,6.75,0.148,0
Night_004,17,0.2254,6.86,0.109,0
Night_004,18,0.2394,6.45,0.123,2
Night_004,19,0.2535,6.08,0.016,0
Night_004,20,0.2676,6.41,0.122,0
Night_004,21,0.2817,6.55,0.066,1
Night_004,22,0.2958,6.17,0.115,0
Night_004,23,0.3099,6.2,0.227,0
Night_004,24,0.3239,6.42,0.254,0
Night_004,25,0.338,6.14,0.193,1
Night_004,26,0.3521,6.19,0.205,1
Night_004,27,0.3662,5.83,0.159,0
Night_004,28,0.3803,5.8,0.133,0
Night_004,29,0.3944,5.71,0.238,0
Night_004,30,0.4085,5.63,0.115,0
Night_004,31,0.4225,5.62,0.203,1
Night_004,32,0.4366,5.7,0.09,0
Night_004,33,0.4507,5.59,0.083,0
Night_004,34,0.4648,4.87,0.141,0
Night_004,35,0.4789,5.53,0.137,0
Night_004,36,0.493,5.3,0.146,0
Night_004,37,0.507,4.85,0.18,0
Night_004,38,0.5211,4.89,0.346,0
Night_004,39,0.5352,5.03,0.472,0
Night_004,40,0.5493,4.7,0.448,0
Night_004,41,0.5634,4.4,0.401,0
Night_004,42,0.5775,4.42,0.434,0
Night_004,43,0.5915,4.48,0.428,0
Night_004,44,0.6056,4.4,0.468,0
Night_004,45,0.6197,4.47,0.539,0
Night_004,46,0.6338,4.43,0.647,0
Night_004,47,0.6479,4.53,0.704,0
Night_004,48,0.662,4.43,0.767,0
Night_004,49,0.6761,3.99,0.817,0
Night_004,50,0.6901,4.22,0.766,0
Night_004,51,0.7042,4.07,0.807,0
Night_004,52,0.7183,3.8,0.716,0
Night_004,53,0.7324,3.67,0.578,0
Night_004,54,0.7465,3.68,0.508,0
Night_004,55,0.7606,3.81,0.38,0
Night_004,56,0.7746,3.49,0.296,0
Night_004,57,0.7887,3.26,0.273,0
Night_004,58,0.8028,3.22,0.134,0
Night_004,59,0.8169,3.33,0.243,1
Night_004,60,0.831,3.16,0.192,0
Night_004,61,0.8451,3.48,0.148,2
Night_004,62,0.8592,3.35,0.058,0
Night_004,63,0.8732,3.39,0.092,1
Night_004,64,0.8873,3.01,0.066,0
Night_004,65,0.9014,3.2,0.121,0
Night_004,66,0.9155,3.42,0.118,0
Night_004,67,0.9296,3.11,0.12,0
Night_004,68,0.9437,3.28,0.089,0
Night_004,69,0.9577,3.34,0.033,0
Night_004,70,0.9718,3.16,0.042,0
Night_004,71,0.9859,3.08,0.059,0
Night_004,72,1.0,3.23,0.046,0
Night_005,1,0.0,8.21,0.263,0
Night_005,2,0.0141,8.48,0.282,0
Night_005,3,0.0282,8.21,0.237,1
Night_005,4,0.0423,8.23,0.171,0
Night_005,5,0.0563,8.27,0.166,1
Night_005,6,0.0704,7.96,0.096,1
Night_005,7,0.0845,8.36,0.128,0
Night_005,8,0.0986,8.4,0.126,0
Night_005,9,0.1127,7.6,0.156,2
Night_005,10,0.1268,7.49,0.229,2
Night_005,11,0.1408,7.58,0.245,1
Night_005,12,0.1549,7.54,0.221,1
Night_005,13,0.169,7.39,0.129,0
Night_005,14,0.1831,7.32,0.212,0
Night_005,15,0.1972,7.45,0.253,1
Night_005,16,0.2113,7.48,0.313,1
Night_005,17,0.2254,7.56,0.288,2
Night_005,18,0.2394,7.3,0.229,0
Night_005,19,0.2535,7.18,0.235,1
Night_005,20,0.2676,7.01,0.265,1
Night_005,21,0.2817,7.04,0.272,0
Night_005,22,0.2958,6.61,0.285,0
Night_005,23,0.3099,6.62,0.227,0
Night_005,24,0.3239,6.84,0.184,1
Night_005,25,0.338,6.77,0.203,0
Night_005,26,0.3521,6.63,0.226,0
Night_005,27,0.3662,6.57,0.309,0
Night_005,28,0.3803,6.59,0.388,0
Night_005,29,0.3944,6.17,0.354,0
Night_005,30,0.4085,6.25,0.397,0
Night_005,31,0.4225,5.83,0.277,0
Night_005,32,0.4366,5.97,0.197,0
Night_005,33,0.4507,5.77,0.219,0
Night_005,34,0.4648,5.84,0.239,0
Night_005,35,0.4789,5.69,0.219,0
Night_005,36,0.493,5.4,0.162,0
Night_005,37,0.507,5.53,0.232,0
Night_005,38,0.5211,5.5,0.137,1
Night_005,39,0.5352,5.2,0.2,1
Night_005,40,0.5493,5.73,0.218,1
Night_005,41,0.5634,5.66,0.114,0
Night_005,42,0.5775,5.16,0.106,0
Night_005,43,0.5915,5.15,0.241,0
Night_005,44,0.6056,5.13,0.183,0
Night_005,45,0.6197,4.92,0.16,1
Night_005,46,0.6338,4.97,0.221,0
Night_005,47,0.6479,4.46,0.221,0
Night_005,48,0.662,4.63,0.26,1
Night_005,49,0.6761,4.99,0.301,1
Night_005,50,0.6901,4.79,0.28,0
Night_005,51,0.7042,4.66,0.332,0
Night_005,52,0.7183,4.79,0.305,0
Night_005,53,0.7324,4.33,0.291,1
Night_005,54,0.7465,4.49,0.37,1
Night_005,55,0.7606,4.44,0.319,1
Night_005,56,0.7746,4.13,0.381,0
Night_005,57,0.7887,3.97,0.318,0
Night_005,58,0.8028,3.76,0.239,0
Night_005,59,0.8169,4.12,0.234,1
Night_005,60,0.831,3.87,0.18,0
Night_005,61,0.8451,3.97,0.131,0
Night_005,62,0.8592,3.51,0.176,1
Night_005,63,0.8732,4.08,0.13,2
Night_005,64,0.8873,3.59,0.09,2
Night_005,65,0.9014,3.98,0.105,1
Night_005,66,0.9155,3.35,0.151,1
Night_005,67,0.9296,3.4,0.125,0
Night_005,68,0.9437,3.3,0.123,0
Night_005,69,0.9577,3.16,0.149,0
Night_005,70,0.9718,3.59,0.17,0
Night_005,71,0.9859,3.6,0.204,0
Night_005,72,1.0,3.46,0.201,0
Night_006,1,0.0,5.38,0.143,1
Night_006,2,0.0141,5.15,0.244,0
Night_006,3,0.0282,5.2,0.274,0
Night_006,4,0.0423,4.56,0.236,1
Night_006,5,0.0563,4.75,0.326,2
Night_006,6,0.0704,4.89,0.261,1
Night_006,7,0.0845,4.66,0.257,0
Night_006,8,0.0986,4.52,0.185,0
Night_006,9,0.1127,4.83,0.036,1
Night_006,10,0.1268,4.63,0.106,0
Night_006,11,0.1408,4.44,0.09,1
Night_006,12,0.1549,4.07,0.096,0
Night_006,13,0.169,4.55,0.144,0
Night_006,14,0.1831,4.49,0.206,0
Night_006,15,0.1972,4.17,0.32,1
Night_006,16,0.2113,4.25,0.438,2
Night_006,17,0.2254,3.96,0.419,2
Night_006,18,0.2394,3.93,0.43,1
Night_006,19,0.2535,4.15,0.564,1
Night_006,20,0.2676,3.93,0.581,0
Night_006,21,0.2817,3.83,0.584,0
Night_006,22,0.2958,3.5,0.53,0
Night_006,23,0.3099,3.57,0.504,0
Night_006,24,0.3239,3.08,0.322,2
Night_006,25,0.338,3.73,0.281,0
Night_006,26,0.3521,3.42,0.231,0
Night_006,27,0.3662,3.49,0.157,0
Night_006,28,0.3803,3.25,0.08,0
Night_006,29,0.3944,3.38,0.054,0
Night_006,30,0.4085,3.2,0.123,0
Night_006,31,0.4225,3.17,0.17,0
Night_006,32,0.4366,3.36,0.226,0
Night_006,33,0.4507,2.88,0.253,1
Night_006,34,0.4648,2.96,0.215,0
Night_006,35,0.4789,3.06,0.215,0
Night_006,36,0.493,3.07,0.151,0
Night_006,37,0.507,2.56,0.207,0
Night_006,38,0.5211,2.6,0.268,0
Night_006,39,0.5352,2.74,0.235,1
Night_006,40,0.5493,2.3,0.106,3
Night_006,41,0.5634,2.61,0.041,2
Night_006,42,0.5775,2.27,0.099,0
Night_006,43,0.5915,2.45,0.122,0
Night_006,44,0.6056,2.26,0.198,0
Night_006,45,0.6197,2.34,0.152,0
Night_006,46,0.6338,1.99,0.229,0
Night_006,47,0.6479,1.98,0.222,1
Night_006,48,0.662,1.65,0.319,0
Night_006,49,0.6761,1.94,0.353,0
Night_006,50,0.6901,1.53,0.371,0
Night_006,51,0.7042,1.66,0.309,0
Night_006,52,0.7183,1.73,0.328,0
Night_006,53,0.7324,1.46,0.259,0
Night_006,54,0.7465,1.41,0.272,1
Night_006,55,0.7606,1.41,0.229,1
Night_006,56,0.7746,1.4,0.178,0
Night_006,57,0.7887,1.19,0.17,0
Night_006,58,0.8028,1.58,0.162,0
Night_006,59,0.8169,1.28,0.056,0
Night_006,60,0.831,1.29,0.026,0
Night_006,61,0.8451,1.25,0.034,0
Night_006,62,0.8592,0.82,0.133,0
Night_006,63,0.8732,0.77,0.133,0
Night_006,64,0.8873,0.82,0.129,0
Night_006,65,0.9014,1.18,0.13,0
Night_006,66,0.9155,0.86,0.052,0
Night_006,67,0.9296,0.98,0.066,0
Night_006,68,0.9437,0.51,0.111,0
Night_006,69,0.9577,0.7,0.08,0
Night_006,70,0.9718,0.74,0.0,0
Night_006,71,0.9859,0.44,0.058,0
Night_006,72,1.0,0.49,0.034,0
Night_007,1,0.0,6.64,0.276,0
Night_007,2,0.0141,6.06,0.324,0
Night_007,3,0.0282,5.95,0.393,0
Night_007,4,0.0423,6.17,0.453,0
Night_007,5,0.0563,5.75,0.363,0
Night_007,6,0.0704,5.76,0.364,1
Night_007,7,0.0845,5.53,0.344,0
Night_007,8,0.0986,5.56,0.226,1
Night_007,9,0.1127,5.53,0.222,0
Night_007,10,0.1268,5.24,0.287,1
Night_007,11,0.1408,5.22,0.27,0
Night_007,12,0.1549,5.46,0.215,1
Night_007,13,0.169,5.22,0.144,2
Night_007,14,0.1831,4.8,0.237,1
Night_007,15,0.1972,5.1,0.176,0
Night_007,16,0.2113,4.87,0.245,0
Night_007,17,0.2254,4.94,0.134,1
Night_007,18,0.2394,4.81,0.209,1
Night_007,19,0.2535,4.66,0.204,0
Night_007,20,0.2676,4.61,0.281,0
Night_007,21,0.2817,4.46,0.312,0
Night_007,22,0.2958,4.29,0.401,1
Night_007,23,0.3099,4.43,0.281,0
Night_007,24,0.3239,4.5,0.278,0
Night_007,25,0.338,4.56,0.247,0
Night_007,26,0.3521,4.31,0.276,0
Night_007,27,0.3662,4.11,0.281,0
Night_007,28,0.3803,3.82,0.287,0
Night_007,29,0.3944,4.12,0.32,0
Night_007,30,0.4085,4.25,0.298,0
Night_007,31,0.4225,3.68,0.33,0
Night_007,32,0.4366,3.87,0.28,1
Night_007,33,0.4507,4.0,0.275,0
Night_007,34,0.4648,3.36,0.223,0
Night_007,35,0.4789,3.67,0.211,0
Night_007,36,0.493,3.65,0.193,0
Night_007,37,0.507,3.52,0.194,0
Night_007,38,0.5211,3.51,0.172,0
Night_007,39,0.5352,3.39,0.142,0
Night_007,40,0.5493,3.03,0.142,0
Night_007,41,0.5634,2.97,0.14,0
Night_007,42,0.5775,3.2,0.232,0
Night_007,43,0.5915,2.92,0.294,0
Night_007,44,0.6056,2.95,0.284,0
Night_007,45,0.6197,2.62,0.508,0
Night_007,46,0.6338,2.53,0.605,0
Night_007,47,0.6479,2.45,0.686,0
Night_007,48,0.662,2.29,0.609,0
Night_007,49,0.6761,2.41,0.585,0
Night_007,50,0.6901,2.69,0.516,0
Night_007,51,0.7042,2.3,0.55,0
Night_007,52,0.7183,2.11,0.586,0
Night_007,53,0.7324,2.26,0.662,0
Night_007,54,0.7465,2.16,0.831,0
Night_007,55,0.7606,2.2,0.9,0
Night_007,56,0.7746,2.07,0.79,0
Night_007,57,0.7887,1.84,0.632,0
Night_007,58,0.8028,1.8,0.615,0
Night_007,59,0.8169,1.81,0.434,0
Night_007,60,0.831,1.5,0.455,0
Night_007,61,0.8451,1.69,0.447,0
Night_007,62,0.8592,1.5,0.454,1
Night_007,63,0.8732,1.64,0.398,0
Night_007,64,0.8873,1.73,0.384,0
Night_007,65,0.9014,1.52,0.37,0
Night_007,66,0.9155,1.38,0.365,1
Night_007,67,0.9296,1.24,0.247,1
Night_007,68,0.9437,1.47,0.225,1
Night_007,69,0.9577,1.74,0.221,0
Night_007,70,0.9718,1.39,0.231,0
Night_007,71,0.9859,1.63,0.165,0
Night_007,72,1.0,1.53,0.129,0
Night_008,1,0.0,7.09,0.07,0
Night_008,2,0.0141,6.78,0.133,0
Night_008,3,0.0282,6.95,0.226,0
Night_008,4,0.0423,6.88,0.29,0
Night_008,5,0.0563,6.71,0.183,0
Night_008,6,0.0704,6.4,0.194,0
Night_008,7,0.0845,6.57,0.207,1
Night_008,8,0.0986,6.55,0.203,0
Night_008,9,0.1127,6.31,0.129,0
Night_008,10,0.1268,6.4,0.154,0
Night_008,11,0.1408,6.15,0.241,0
Night_008,12,0.1549,6.06,0.328,0
Night_008,13,0.169,6.08,0.343,1
Night_008,14,0.1831,6.04,0.389,0
Night_008,15,0.1972,5.79,0.448,1
Night_008,16,0.2113,5.95,0.392,1
Night_008,17,0.2254,5.63,0.42,1
Night_008,18,0.2394,5.57,0.402,1
Night_008,19,0.2535,5.38,0.324,0
Night_008,20,0.2676,5.7,0.18,0
Night_008,21,0.2817,5.5,0.204,0
Night_008,22,0.2958,5.28,0.11,0
Night_008,23,0.3099,4.96,0.094,0
Night_008,24,0.3239,5.11,0.062,0
Night_008,25,0.338,5.02,0.046,0
Night_008,26,0.3521,4.86,0.047,0
Night_008,27,0.3662,4.98,0.149,0
Night_008,28,0.3803,4.94,0.015,0
Night_008,29,0.3944,4.91,0.01,0
Night_008,30,0.4085,4.46,0.006,0
Night_008,31,0.4225,4.37,0.027,0
Night_008,32,0.4366,4.78,0.067,0
Night_008,33,0.4507,4.24,0.063,0
Night_008,34,0.4648,4.31,0.056,0
Night_008,35,0.4789,4.12,0.034,0
Night_008,36,0.493,4.29,0.034,0
Night_008,37,0.507,4.28,0.082,1
Night_008,38,0.5211,4.18,0.003,0
Night_008,39,0.5352,4.1,0.03,0
Night_008,40,0.5493,3.95,0.021,0
Night_008,41,0.5634,3.81,0.0,0
Night_008,42,0.5775,3.51,0.014,0
Night_008,43,0.5915,3.62,0.0,0
Night_008,44,0.6056,3.38,0.0,0
Night_008,45,0.6197,3.64,0.0,0
Night_008,46,0.6338,3.66,0.087,0
Night_008,47,0.6479,3.04,0.042,0
Night_008,48,0.662,3.35,0.07,0
Night_008,49,0.6761,3.11,0.088,0
Night_008,50,0.6901,2.95,0.024,0
Night_008,51,0.7042,3.02,0.009,0
Night_008,52,0.7183,2.95,0.0,0
Night_008,53,0.7324,3.1,0.0,0
Night_008,54,0.7465,2.65,0.054,0
Night_008,55,0.7606,3.03,0.0,0
Night_008,56,0.7746,2.34,0.0,0
Night_008,57,0.7887,2.42,0.121,0
Night_008,58,0.8028,2.23,0.086,1
Night_008,59,0.8169,2.17,0.059,0
Night_008,60,0.831,2.32,0.129,0
Night_008,61,0.8451,2.25,0.087,0
Night_008,62,0.8592,2.44,0.085,0
Night_008,63,0.8732,2.18,0.036,0
Night_008,64,0.8873,1.77,0.013,0
Night_008,65,0.9014,2.09,0.0,1
Night_008,66,0.9155,2.39,0.0,0
Night_008,67,0.9296,1.78,0.0,0
Night_008,68,0.9437,2.04,0.028,1
Night_008,69,0.9577,2.03,0.055,2
Night_008,70,0.9718,1.7,0.116,0
Night_008,71,0.9859,1.9,0.082,0
Night_008,72,1.0,1.58,0.007,0
Night_009,1,0.0,5.21,0.162,1
Night_009,2,0.0141,4.56,0.078,0
Night_009,3,0.0282,5.0,0.088,1
Night_009,4,0.0423,5.06,0.077,1
Night_009,5,0.0563,4.83,0.036,0
Night_009,6,0.0704,4.64,0.084,1
Night_009,7,0.0845,4.13,0.138,0
Night_009,8,0.0986,4.05,0.213,0
Night_009,9,0.1127,4.25,0.291,0
Night_009,10,0.1268,3.78,0.232,0
Night_009,11,0.1408,4.0,0.131,0
Night_009,12,0.1549,4.32,0.173,1
Night_009,13,0.169,4.0,0.154,0
Night_009,14,0.1831,3.63,0.217,0
Night_009,15,0.1972,3.82,0.222,1
Night_009,16,0.2113,3.51,0.246,0
Night_009,17,0.2254,3.58,0.26,2
Night_009,18,0.2394,3.5,0.415,1
Night_009,19,0.2535,3.24,0.543,0
Night_009,20,0.2676,3.49,0.514,0
Night_009,21,0.2817,3.11,0.625,0
Night_009,22,0.2958,3.06,0.611,1
Night_009,23,0.3099,3.14,0.598,0
Night_009,24,0.3239,2.97,0.49,0
Night_009,25,0.338,2.54,0.535,0
Night_009,26,0.3521,3.03,0.449,0
Night_009,27,0.3662,2.61,0.459,0
Night_009,28,0.3803,2.64,0.317,0
Night_009,29,0.3944,1.98,0.319,0
Night_009,30,0.4085,2.29,0.278,0
Night_009,31,0.4225,2.69,0.202,0
Night_009,32,0.4366,2.21,0.225,0
Night_009,33,0.4507,2.34,0.269,0
Night_009,34,0.4648,1.89,0.412,1
Night_009,35,0.4789,2.07,0.414,0
Night_009,36,0.493,2.01,0.415,0
Night_009,37,0.507,1.87,0.394,0
Night_009,38,0.5211,1.56,0.326,0
Night_009,39,0.5352,1.87,0.304,0
Night_009,40,0.5493,1.93,0.278,0
Night_009,41,0.5634,1.34,0.187,0
Night_009,42,0.5775,1.29,0.121,0
Night_009,43,0.5915,1.12,0.044,0
Night_009,44,0.6056,1.22,0.033,0
Night_009,45,0.6197,1.2,0.097,0
Night_009,46,0.6338,1.0,0.131,0
Night_009,47,0.6479,0.68,0.116,0
Night_009,48,0.662,0.78,0.158,0
Night_009,49,0.6761,0.36,0.069,0
Night_009,50,0.6901,0.65,0.092,0
Night_009,51,0.7042,0.81,0.103,0
Night_009,52,0.7183,0.14,0.1,0
Night_009,53,0.7324,0.39,0.071,0
Night_009,54,0.7465,0.56,0.161,0
Night_009,55,0.7606,0.45,0.219,0
Night_009,56,0.7746,0.31,0.355,0
Night_009,57,0.7887,-0.28,0.265,0
Night_009,58,0.8028,-0.24,0.303,0
Night_009,59,0.8169,0.03,0.336,0
