plot_id,flood_depth_cm,flood_duration_days,slope_degrees,sediment_depth_cm,infiltration_rate_cm_hr,flood_depth_group
P046,126.7,19.9,9.9,5.7,2.72,High
P047,102.7,15.8,3.7,10.4,2.19,High
P048,28.7,9.2,1.3,2.3,6.89,Low
P049,67.3,22.1,14.6,3.8,4.09,Moderate
P050,146.2,21.9,1.5,7.9,0.37,High
P051,100.7,18.4,0.3,8.2,3.03,High
P052,128.4,15.9,8.6,2.0,3.6,High
P053,81.8,14.7,5.7,3.7,4.07,Moderate
P054,89.5,14.6,0.3,10.3,2.23,Moderate
P055,128.5,20.9,3.3,4.5,2.45,High
P056,58.2,17.5,8.6,5.1,4.16,Moderate
P057,122.0,17.3,1.3,5.3,2.74,High
P058,75.1,14.9,0.4,2.4,4.48,Moderate
P059,32.1,3.4,0.9,4.8,6.32,Low
P060,62.2,16.1,5.4,4.7,4.52,Moderate
P061,146.6,18.8,0.3,4.7,1.75,High
P062,77.2,14.3,6.5,3.8,4.77,Moderate
P063,139.3,23.0,1.6,7.7,0.88,High
P064,17.8,1.0,5.1,0.0,8.54,Low
P065,98.1,9.3,21.0,0.5,5.82,Moderate
P066,101.9,7.5,23.2,1.2,5.52,High
P067,15.0,6.0,0.3,0.0,9.26,Low
P068,91.4,11.7,0.3,1.9,4.61,Moderate
P069,35.1,22.6,17.2,8.5,4.68,Low
P070,87.7,5.6,2.0,1.9,5.32,Moderate
P071,128.8,23.1,0.3,8.0,1.68,High
P072,91.7,11.3,17.3,4.4,4.61,Moderate
P073,55.6,22.4,10.1,3.1,4.09,Moderate
P074,102.6,12.6,17.2,4.1,4.32,High
P075,88.2,14.5,18.8,3.4,4.49,Moderate
P076,133.8,12.6,3.4,10.1,2.77,High
P077,35.7,9.6,6.1,0.0,7.16,Low
P078,107.7,3.6,18.9,1.8,5.31,High
P079,35.4,3.7,3.8,0.7,9.13,Low
P080,50.7,6.0,9.2,6.4,6.08,Moderate
P081,79.2,13.4,9.4,1.2,5.35,Moderate
P082,21.3,19.8,5.4,4.5,7.47,Low
P083,93.4,15.5,1.4,7.9,3.69,Moderate
P084,23.3,1.0,3.2,6.5,8.36,Low
P085,43.9,1.0,3.3,5.9,7.31,Low
P086,123.0,23.1,7.9,9.0,1.85,High
P087,138.9,19.1,3.4,6.5,1.1,High
P088,122.2,19.7,0.3,6.5,3.18,High
P089,119.3,18.4,2.9,8.4,2.54,High
P090,93.1,6.5,13.7,1.2,6.25,Moderate
P091,99.1,8.5,10.9,4.1,5.43,Moderate
P092,22.4,1.0,6.9,3.5,8.33,Low
P093,82.2,6.6,13.7,3.9,4.79,Moderate
P094,71.3,18.2,16.9,6.6,3.97,Moderate
P095,117.8,20.9,0.3,6.6,2.38,High
P096,59.5,20.0,19.2,5.5,4.53,Moderate
P097,126.6,12.7,3.3,5.7,3.97,High
P098,137.3,6.3,18.4,4.6,4.3,High
P099,86.8,4.4,8.2,4.7,4.28,Moderate
P100,116.7,19.9,4.4,4.6,4.2,High
P101,44.9,20.1,9.9,5.9,4.33,Low
P102,53.0,5.1,1.7,3.8,7.03,Moderate
P103,122.5,19.4,1.3,6.6,3.25,High
P104,93.0,13.0,5.3,3.5,5.16,Moderate
P105,58.6,16.2,11.4,4.1,5.97,Moderate
P106,10.1,4.6,2.5,0.0,9.35,Low
P107,105.7,17.7,0.3,7.3,3.29,High
P108,99.8,10.6,15.9,0.1,5.17,Moderate
P109,131.3,12.5,5.9,5.9,4.72,High
P110,56.8,11.2,9.9,3.2,5.79,Moderate
P111,50.6,13.2,14.9,5.1,6.39,Moderate
P112,70.1,15.2,0.5,2.6,4.65,Moderate
P113,55.1,18.8,3.5,5.6,4.88,Moderate
P114,34.5,8.0,10.1,1.2,7.9,Low
P115,81.9,11.0,6.6,3.3,6.13,Moderate
P116,42.0,8.5,0.3,4.7,6.5,Low
P117,44.1,5.2,0.3,1.5,8.2,Low
P118,102.4,20.3,7.3,9.0,3.3,High
P119,72.0,9.7,7.5,0.0,5.31,Moderate
P120,112.2,15.8,5.8,6.2,2.72,High
P121,68.4,19.2,15.0,8.8,3.81,Moderate
P122,123.0,11.8,22.0,1.9,4.75,High
P123,61.1,6.6,6.7,6.0,6.07,Moderate
P124,61.9,11.9,1.6,1.4,5.12,Moderate
P125,90.4,7.3,3.5,6.9,3.66,Moderate
P126,36.2,3.8,2.2,2.2,8.11,Low
P127,42.3,20.2,15.8,4.5,6.59,Low
P128,12.2,17.4,14.7,6.9,6.57,Low
P129,126.5,23.7,0.4,9.2,1.0,High
P130,123.8,20.7,0.3,8.5,3.04,High
P131,99.2,15.6,18.7,0.8,5.0,Moderate
P132,40.5,21.6,13.1,3.9,5.78,Low
P133,35.8,26.1,11.2,4.9,4.6,Low
P134,85.4,13.6,21.9,0.8,5.87,Moderate
P135,33.6,1.0,9.5,2.3,9.1,Low
P136,50.0,18.7,13.9,4.6,5.85,Moderate
P137,82.8,16.3,7.7,7.4,4.46,Moderate
P138,87.3,13.7,21.1,0.2,4.92,Moderate
P139,64.0,10.2,5.2,4.0,5.29,Moderate
P140,44.0,19.7,15.5,7.3,5.48,Low
P141,105.8,17.1,3.6,4.7,4.49,High
P142,91.9,12.3,7.8,3.3,3.64,Moderate
P143,50.7,7.9,7.1,1.2,6.15,Moderate
P144,81.3,8.4,4.9,5.2,4.62,Moderate
P145,96.0,7.4,20.1,3.6,5.34,Moderate
P146,21.4,1.4,5.5,2.4,8.31,Low
P147,31.2,8.8,2.7,0.0,7.91,Low
P148,60.7,4.1,10.0,4.4,4.83,Moderate
P149,37.1,1.0,0.3,1.2,9.1,Low
P150,43.0,13.8,5.6,3.3,5.82,Low
P151,93.9,4.2,14.3,0.0,5.41,Moderate
P152,75.4,11.6,5.2,3.0,5.54,Moderate
P153,103.1,19.0,0.3,5.1,4.07,High
P154,63.1,8.0,6.8,3.2,4.23,Moderate
P155,57.8,25.0,16.8,6.1,5.03,Moderate
P156,57.5,10.9,4.3,0.0,6.18,Moderate
P157,73.1,16.0,18.5,7.9,3.08,Moderate
P158,65.7,5.6,3.6,3.4,5.92,Moderate
P159,58.1,1.0,6.1,0.0,8.15,Moderate
P160,76.8,19.8,12.7,4.8,4.86,Moderate
P161,136.8,19.5,9.9,4.0,3.49,High
P162,58.7,4.6,8.5,0.6,7.39,Moderate
P163,118.8,10.4,10.3,1.9,5.15,High
P164,58.5,22.5,9.5,4.6,4.88,Moderate
P165,103.0,15.1,8.0,6.9,4.33,High
P166,5.0,5.2,1.7,3.9,9.25,Low
P167,115.0,12.7,15.9,3.5,4.97,High
P168,54.4,9.2,0.3,0.3,6.96,Moderate
P169,39.4,9.6,5.2,3.8,6.77,Low
P170,84.9,16.9,5.7,7.5,4.48,Moderate
P171,5.0,8.4,4.2,0.7,9.52,Low
P172,96.6,3.1,4.2,5.0,5.24,Moderate
P173,126.8,17.1,3.5,6.6,3.41,High
P174,110.6,6.8,20.4,0.0,4.91,High
P175,117.1,17.8,19.7,2.4,3.95,High
P176,25.4,6.8,0.7,0.1,9.0,Low
P177,56.7,9.0,17.0,2.1,5.03,Moderate
P178,35.0,1.2,3.7,0.0,8.96,Low
P179,52.9,18.9,6.0,2.9,5.85,Moderate
P180,64.3,7.8,6.9,2.8,5.02,Moderate
P181,54.1,18.4,2.9,4.8,4.6,Moderate
P182,39.8,19.4,9.3,6.1,4.53,Low
P183,94.2,10.8,20.7,1.5,5.71,Moderate
P184,109.7,8.9,14.3,2.3,4.2,High
P185,76.7,15.1,4.8,6.2,3.75,Moderate
P186,133.9,9.5,0.4,8.0,2.75,High
P187,28.8,21.9,16.8,4.5,5.31,Low
P188,60.3,9.3,2.8,1.4,6.79,Moderate
P189,58.3,21.8,6.5,4.8,4.4,Moderate
P190,44.9,8.6,5.2,0.4,7.13,Low
P191,12.3,2.4,10.6,0.0,9.52,Low
P192,122.2,14.4,2.7,8.7,3.36,High
P193,125.6,19.7,5.7,8.0,2.67,High
P194,81.1,19.5,3.7,7.7,3.7,Moderate
P195,135.1,19.7,6.4,5.0,2.46,High
P196,128.1,17.6,3.7,9.2,2.2,High
P197,86.2,5.3,13.4,2.0,5.89,Moderate
P198,54.3,1.0,3.9,0.0,8.4,Moderate
P199,62.6,11.7,4.1,1.5,6.61,Moderate
P200,68.4,14.0,11.2,6.1,4.51,Moderate
P201,67.3,21.4,15.5,3.0,6.23,Moderate
P202,37.6,25.2,15.0,6.5,4.74,Low
P203,39.0,1.0,0.3,3.1,7.83,Low
P204,74.5,15.5,9.4,4.8,4.54,Moderate
P205,70.7,18.6,9.0,6.7,4.49,Moderate
P206,65.8,17.2,9.7,6.9,4.03,Moderate
P207,11.9,2.8,4.6,1.8,10.24,Low
P208,51.7,1.0,3.1,2.0,8.38,Moderate
P209,101.0,10.3,13.9,5.0,5.49,High
P210,103.2,10.2,16.0,2.8,5.4,High
P211,58.9,3.9,3.7,2.0,6.93,Moderate
P212,90.6,17.3,6.4,6.2,3.14,Moderate
P213,74.2,9.9,0.5,4.9,5.17,Moderate
P214,50.6,11.7,5.5,2.9,6.57,Moderate
P215,36.2,7.0,5.8,0.8,7.71,Low
P216,72.0,6.6,0.9,5.1,5.12,Moderate
P217,55.2,7.1,7.3,1.2,7.34,Moderate
P218,103.6,4.6,14.0,1.5,5.09,High
P219,104.7,18.9,9.0,8.1,4.14,High
P220,43.4,1.5,2.2,1.7,8.67,Low
P221,73.6,10.5,1.7,6.5,4.07,Moderate
P222,95.3,17.3,6.8,5.7,4.57,Moderate
P223,138.1,12.2,1.2,2.9,4.11,High
P224,137.7,13.0,1.4,8.2,1.84,High
P225,80.2,14.0,8.1,4.9,3.84,Moderate
P226,65.3,9.4,8.4,4.7,6.04,Moderate
P227,135.9,14.7,0.3,4.8,3.21,High
P228,85.4,7.3,13.6,2.1,5.88,Moderate
P229,130.2,21.7,1.7,7.9,2.98,High
P230,70.9,5.1,18.2,1.3,6.29,Moderate
P231,19.8,4.8,0.3,1.6,8.88,Low
P232,31.9,5.8,5.4,1.6,9.19,Low
P233,84.9,11.8,18.5,0.9,5.65,Moderate
P234,121.9,15.3,0.3,5.3,4.07,High
P235,112.0,15.9,0.3,6.3,3.75,High
P236,81.5,5.2,6.7,0.0,5.23,Moderate
P237,82.9,7.5,1.1,5.3,4.06,Moderate
P238,62.1,23.5,12.8,5.5,4.62,Moderate
P239,66.8,11.4,5.5,2.3,5.36,Moderate
P240,70.3,4.6,5.7,4.1,5.54,Moderate
