penguin_id,species,island,sex,year,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
P289,Chinstrap,Dream,female,2007,45.9,17.1,190.0,3575.0
P290,Chinstrap,Dream,male,2007,50.5,19.6,201.0,4050.0
P291,Chinstrap,Dream,male,2007,50.3,20.0,197.0,3300.0
P292,Chinstrap,Dream,female,2007,58.0,17.8,181.0,3700.0
P293,Chinstrap,Dream,female,2007,46.4,18.6,190.0,3450.0
P294,Chinstrap,Dream,male,2007,49.2,18.2,195.0,4400.0
P295,Chinstrap,Dream,female,2007,42.4,17.3,181.0,3600.0
P296,Chinstrap,Dream,male,2007,48.5,17.5,191.0,3400.0
P297,Chinstrap,Dream,female,2007,43.2,16.6,187.0,2900.0
P298,Chinstrap,Dream,male,2007,50.6,19.4,193.0,3800.0
P299,Chinstrap,Dream,female,2007,46.7,17.9,195.0,3300.0
P300,Chinstrap,Dream,male,2007,52.0,19.0,197.0,4150.0
P301,Chinstrap,Dream,female,2008,50.5,18.4,200.0,3400.0
P302,Chinstrap,Dream,male,2008,49.5,19.0,200.0,3800.0
P303,Chinstrap,Dream,female,2008,46.4,17.8,191.0,3700.0
P304,Chinstrap,Dream,male,2008,52.8,20.0,205.0,4550.0
P305,Chinstrap,Dream,female,2008,40.9,16.6,187.0,3200.0
P306,Chinstrap,Dream,male,2008,54.2,20.8,201.0,4300.0
P307,Chinstrap,Dream,female,2008,42.5,16.7,187.0,3350.0
P308,Chinstrap,Dream,male,2008,51.0,18.8,203.0,4100.0
P309,Chinstrap,Dream,male,2008,49.7,18.6,195.0,3600.0
P310,Chinstrap,Dream,female,2008,47.5,16.8,199.0,3900.0
P311,Chinstrap,Dream,female,2008,47.6,18.3,195.0,3850.0
P312,Chinstrap,Dream,male,2008,52.0,20.7,210.0,4800.0
P313,Chinstrap,Dream,female,2008,46.9,16.6,192.0,2700.0
P314,Chinstrap,Dream,male,2008,53.5,19.9,205.0,4500.0
P315,Chinstrap,Dream,male,2008,49.0,19.5,210.0,3950.0
P316,Chinstrap,Dream,female,2008,46.2,17.5,187.0,3650.0
P317,Chinstrap,Dream,male,2008,50.9,19.1,196.0,3550.0
P318,Chinstrap,Dream,female,2008,45.5,17.0,196.0,3500.0
P319,Chinstrap,Dream,female,2009,50.9,17.9,196.0,3675.0
P320,Chinstrap,Dream,male,2009,50.8,18.5,201.0,4450.0
P321,Chinstrap,Dream,female,2009,50.1,17.9,190.0,3400.0
P322,Chinstrap,Dream,male,2009,49.0,19.6,212.0,4300.0
P323,Chinstrap,Dream,male,2009,51.5,18.7,187.0,3250.0
P324,Chinstrap,Dream,female,2009,49.8,17.3,198.0,3675.0
P325,Chinstrap,Dream,female,2009,48.1,16.4,199.0,3325.0
P326,Chinstrap,Dream,male,2009,51.4,19.0,201.0,3950.0
P327,Chinstrap,Dream,female,2009,45.7,17.3,193.0,3600.0
P328,Chinstrap,Dream,male,2009,50.7,19.7,203.0,4050.0
P329,Chinstrap,Dream,female,2009,42.5,17.3,187.0,3350.0
P330,Chinstrap,Dream,male,2009,52.2,18.8,197.0,3450.0
P331,Chinstrap,Dream,female,2009,45.2,16.6,191.0,3250.0
P332,Chinstrap,Dream,male,2009,49.3,19.9,203.0,4050.0
P333,Chinstrap,Dream,male,2009,50.2,18.8,202.0,3800.0
P334,Chinstrap,Dream,female,2009,45.6,19.4,194.0,3525.0
P335,Chinstrap,Dream,male,2009,51.9,19.5,206.0,3950.0
P336,Chinstrap,Dream,female,2009,46.8,16.5,189.0,3650.0
P337,Chinstrap,Dream,female,2009,45.7,17.0,195.0,3650.0
P338,Chinstrap,Dream,male,2009,55.8,19.8,207.0,4000.0
P339,Chinstrap,Dream,female,2009,43.5,18.1,202.0,3400.0
P340,Chinstrap,Dream,male,2009,49.6,18.2,193.0,3775.0
P341,Chinstrap,Dream,male,2009,50.8,19.0,210.0,4100.0
P342,Chinstrap,Dream,female,2009,50.2,18.7,198.0,3775.0
